Accessibility settings
AccessibilityShortcutsEnabled	Enable accessibility features shortcuts
KeyboardFocusHighlightEnabled	Enable the keyboard focus highlighting accessibility feature
LargeCursorEnabled	Enable large cursor
LiveCaptionEnabled	Enable Live Caption
LiveTranslateEnabled	Enable Live Translate
MonoAudioEnabled	Enable the mono audio accessibility feature
ScreenMagnifierType	Set screen magnifier type
SelectToSpeakEnabled	Enable select to speak
ShowAccessibilityOptionsInSystemTrayMenu	Show accessibility options in system tray menu
SpokenFeedbackEnabled	Enable spoken feedback
StickyKeysEnabled	Enable sticky keys
UiAutomationProviderEnabled	Enable the browser's UI Automation accessibility framework provider on Windows
VirtualKeyboardEnabled	Enable the accessibility virtual keyboard
VirtualKeyboardFeatures	Enable or disable various features on the on-screen keyboard
Allow or deny screen capture
MultiScreenCaptureAllowedForUrls	Enables automatic screencapture of multiple screens
SameOriginTabCaptureAllowedByOrigins	Allow Same Origin Tab capture by these origins
ScreenCaptureAllowed	Allow or deny screen capture
ScreenCaptureAllowedByOrigins	Allow Desktop, Window, and Tab capture by these origins
TabCaptureAllowedByOrigins	Allow Tab capture by these origins
WindowCaptureAllowedByOrigins	Allow Window and Tab capture by these origins
Android settings
ArcAppInstallEventLoggingEnabled	Log events for Android app installs
ArcAppToWebAppSharingEnabled	Enable sharing from Android apps to Web apps
ArcBackupRestoreServiceEnabled	Control Android backup and restore service
ArcCertificatesSyncMode	Set certificate availability for ARC-apps
ArcEnabled	Enable ARC
ArcGoogleLocationServicesEnabled	Control Android Google location services
ArcOpenLinksInBrowserByDefault	Open links in Chrome browser by default
ArcPolicy	Configure ARC
DeviceFlexArcPreloadEnabled	Preload ArcVM image On Flex
UnaffiliatedArcAllowed	Allow unaffiliated users to use ARC
UnaffiliatedDeviceArcAllowed	Allow enterprise users to use ARC on unaffiliated devices.
Borealis
UserBorealisAllowed	Allow users to use Borealis on Google ChromeOS
Certificate management settings
CACertificateManagementAllowed	Allow users to manage installed CA certificates.
CACertificates	TLS certificates that should be trusted by Google Chrome for server authentication
CACertificatesWithConstraints	TLS certificates that should be trusted by Google Chrome for server authentication with constraints
CADistrustedCertificates	TLS certificates that should be distrusted by Google Chrome for server authentication
CAHintCertificates	TLS certificates that are not trusted or distrusted but can be used in path-building for server authentication
CAPlatformIntegrationEnabled	Use user-added TLS certificates from platform trust stores for server authentication
RequiredClientCertificateForDevice	Required device-wide Client Certificates
RequiredClientCertificateForUser	Required Client Certificates
Class management tools Settings
ClassManagementCaptionsEnabled	Configure Class Tools caption feature
ClassManagementClassroomIntegrationEnabled	Configure Class Tools Google Classroom integration feature
ClassManagementEnabled	Configure Class Tools
ClassManagementNetworkRestrictionEnabled	Configure Class Tools network restriction
ClassManagementViewScreenEnabled	Configure Class Tools view screen feature
CloudUpload
GoogleWorkspaceCloudUpload	Configures the Cloud Upload flow for Google Drive and Google Workspace
MicrosoftOfficeCloudUpload	Configures the Cloud Upload flow for Microsoft OneDrive and Microsoft 365
Content settings
AutoSelectCertificateForUrls	Automatically select client certificates for these sites
AutomaticFullscreenAllowedForUrls	Allow automatic fullscreen on these sites
AutomaticFullscreenBlockedForUrls	Block automatic fullscreen on these sites
ClipboardAllowedForUrls	Allow clipboard on these sites
ClipboardBlockedForUrls	Block clipboard on these sites
ControlledFrameAllowedForUrls	Allow Controlled Frame API on these sites
ControlledFrameBlockedForUrls	Block Controlled Frame API on these sites
CookiesAllowedForUrls	Allow cookies on these sites
CookiesBlockedForUrls	Block cookies on these sites
CookiesSessionOnlyForUrls	Limit cookies from matching URLs to the current session
DataUrlInSvgUseEnabled	Data URL support for SVGUseElement.
DefaultClipboardSetting	Default clipboard setting
DefaultControlledFrameSetting	Control use of the Controlled Frame API
DefaultCookiesSetting	Default cookies setting
DefaultDeviceAttributesSetting	Control use of the Device Attributes API
DefaultDirectSocketsSetting	Control use of the Direct Sockets API
DefaultFileSystemReadGuardSetting	Control use of the File System API for reading
DefaultFileSystemWriteGuardSetting	Control use of the File System API for writing
DefaultGeolocationSetting	Default geolocation setting
DefaultImagesSetting	Default images setting
DefaultInsecureContentSetting	Control use of insecure content exceptions
DefaultJavaScriptJitSetting	Control use of JavaScript JIT
DefaultJavaScriptOptimizerSetting	Control use of JavaScript optimizers
DefaultJavaScriptSetting	Default JavaScript setting
DefaultLocalFontsSetting	Default Local Fonts permission setting
DefaultMediaStreamSetting	Default mediastream setting
DefaultNotificationsSetting	Default notification setting
DefaultPopupsSetting	Default pop-ups setting
DefaultSensorsSetting	Default sensors setting
DefaultSerialGuardSetting	Control use of the Serial API
DefaultThirdPartyStoragePartitioningSetting	Default third-party storage partitioning setting
DefaultWebBluetoothGuardSetting	Control use of the Web Bluetooth API
DefaultWebHidGuardSetting	Control use of the WebHID API
DefaultWebUsbGuardSetting	Control use of the WebUSB API
DefaultWindowManagementSetting	Default Window Management permission setting
DefaultWindowPlacementSetting	Default Window Placement permission setting
DeviceAttributesAllowedForOrigins	Allow Device Attributes API on these sites
DeviceAttributesBlockedForOrigins	Block Device Attributes API on these sites
DirectSocketsAllowedForUrls	Allow Direct Sockets API on these sites
DirectSocketsBlockedForUrls	Block Direct Sockets API on these sites
FileSystemReadAskForUrls	Allow read access via the File System API on these sites
FileSystemReadBlockedForUrls	Block read access via the File System API on these sites
FileSystemWriteAskForUrls	Allow write access to files and directories on these sites
FileSystemWriteBlockedForUrls	Block write access to files and directories on these sites
ImagesAllowedForUrls	Allow images on these sites
ImagesBlockedForUrls	Block images on these sites
InsecureContentAllowedForUrls	Allow insecure content on these sites
InsecureContentBlockedForUrls	Block insecure content on these sites
JavaScriptAllowedForUrls	Allow JavaScript on these sites
JavaScriptBlockedForUrls	Block JavaScript on these sites
JavaScriptJitAllowedForSites	Allow JavaScript to use JIT on these sites
JavaScriptJitBlockedForSites	Block JavaScript from using JIT on these sites
JavaScriptOptimizerAllowedForSites	Allow JavaScript optimization on these sites
JavaScriptOptimizerBlockedForSites	Block JavaScript optimizations on these sites
LocalFontsAllowedForUrls	Allow Local Fonts permission on these sites
LocalFontsBlockedForUrls	Block Local Fonts permission on these sites
NotificationsAllowedForUrls	Allow notifications on these sites
NotificationsBlockedForUrls	Block notifications on these sites
PartitionedBlobUrlUsage	Choose whether Blob URLs are partitioned during fetching and navigations
PdfLocalFileAccessAllowedForDomains	Allow local file access to file:// URLs on these sites in the PDF Viewer
PopupsAllowedForUrls	Allow pop-ups on these sites
PopupsBlockedForUrls	Block pop-ups on these sites
RegisteredProtocolHandlers	Register protocol handlers
SensorsAllowedForUrls	Allow access to sensors on these sites
SensorsBlockedForUrls	Block access to sensors on these sites
SerialAllowAllPortsForUrls	Automatically grant permission to sites to connect all serial ports.
SerialAllowUsbDevicesForUrls	Automatically grant permission to sites to connect to USB serial devices.
SerialAskForUrls	Allow the Serial API on these sites
SerialBlockedForUrls	Block the Serial API on these sites
ThirdPartyStoragePartitioningBlockedForOrigins	Disable third-party storage partitioning for specific top-level origins
WebHidAllowAllDevicesForUrls	Automatically grant permission to sites to connect to any HID device.
WebHidAllowDevicesForUrls	Automatically grant permission to these sites to connect to HID devices with the given vendor and product IDs.
WebHidAllowDevicesWithHidUsagesForUrls	Automatically grant permission to these sites to connect to HID devices containing top-level collections with the given HID usage.
WebHidAskForUrls	Allow the WebHID API on these sites
WebHidBlockedForUrls	Block the WebHID API on these sites
WebUsbAllowDevicesForUrls	Automatically grant permission to these sites to connect to USB devices with the given vendor and product IDs.
WebUsbAskForUrls	Allow WebUSB on these sites
WebUsbBlockedForUrls	Block WebUSB on these sites
WindowManagementAllowedForUrls	Allow Window Management permission on these sites
WindowManagementBlockedForUrls	Block Window Management permission on these sites
WindowPlacementAllowedForUrls	Allow Window Placement permission on these sites
WindowPlacementBlockedForUrls	Block Window Placement permission on these sites
Date and time
CalendarIntegrationEnabled	Enable Google Calendar Integration
SystemTimezone	Timezone
SystemTimezoneAutomaticDetection	Configure the automatic timezone detection method
SystemUse24HourClock	Use 24 hour clock by default
Default search provider
DefaultSearchProviderAlternateURLs	List of alternate URLs for the default search provider
DefaultSearchProviderEnabled	Enable the default search provider
DefaultSearchProviderEncodings	Default search provider encodings
DefaultSearchProviderImageURL	Parameter providing search-by-image feature for the default search provider
DefaultSearchProviderImageURLPostParams	Parameters for image URL which uses POST
DefaultSearchProviderKeyword	Default search provider keyword
DefaultSearchProviderName	Default search provider name
DefaultSearchProviderNewTabURL	Default search provider new tab page URL
DefaultSearchProviderSearchURL	Default search provider search URL
DefaultSearchProviderSearchURLPostParams	Parameters for search URL which uses POST
DefaultSearchProviderSuggestURL	Default search provider suggest URL
DefaultSearchProviderSuggestURLPostParams	Parameters for suggest URL which uses POST
Desk Connector Settings
DeskAPIThirdPartyAccessEnabled	Enable Desk API for third-party Google ChromeOS control
DeskAPIThirdPartyAllowlist	Enable Desk API for a list of third-party domains
Device update settings
ChromeOsReleaseChannel	Release channel
ChromeOsReleaseChannelDelegated	Users may configure the Google ChromeOS release channel
DeviceAutoUpdateDisabled	Disable Auto Update
DeviceAutoUpdateP2PEnabled	Auto update P2P enabled
DeviceAutoUpdateTimeRestrictions	Update Time Restrictions
DeviceExtendedAutoUpdateEnabled	Enable/disable Extended Automatic Updates
DeviceMinimumVersion	Configure minimum allowed Google ChromeOS version for the device.
DeviceMinimumVersionAueMessage	Configure auto update expiration message for DeviceMinimumVersion policy
DeviceQuickFixBuildToken	Provide users with Quick Fix Build
DeviceRollbackAllowedMilestones	Number of milestones kernel key increments are held back
DeviceRollbackToTargetVersion	Roll back OS to target version
DeviceTargetVersionPrefix	Target Auto Update Version
DeviceUpdateAllowedConnectionTypes	Connection types allowed for updates
DeviceUpdateHttpDownloadsEnabled	Allow autoupdate downloads via HTTP
DeviceUpdateScatterFactor	Auto update scatter factor
DeviceUpdateStagingSchedule	The staging schedule for applying a new update
RebootAfterUpdate	Automatically reboot after update
Display
DeviceDisplayResolution	Set display resolution and scale factor
DisplayRotationDefault	Set default display rotation, reapplied on every reboot
Drive
DriveDisabled	Disable Drive in the Google ChromeOS Files app
DriveDisabledOverCellular	Disable Google Drive over cellular connections in the Google ChromeOS Files app
DriveFileSyncAvailable	Google ChromeOS file sync
MicrosoftOneDriveAccountRestrictions	Restricts accounts that can use the Microsoft OneDrive integration
MicrosoftOneDriveMount	Configures the mounting of Microsoft OneDrive
EDU settings
ContentTransferEnablementStatus	Configure when the Google ChromeOS Content transfer tool is available
Extensions
BlockExternalExtensions	Blocks external extensions from being installed
ExtensionAllowedTypes	Configure allowed app/extension types
ExtensionDeveloperModeSettings	Control the availability of developer mode on extensions page
ExtensionExtendedBackgroundLifetimeForPortConnectionsToUrls	Configure a list of origins that grant extended background lifetime to the connecting extensions.
ExtensionForceInstallWithNonMalwareViolationsEnabled	Enable Force-installed Extensions With Non-Malware Violations
ExtensionInstallAllowlist	Configure extension installation allow list
ExtensionInstallBlocklist	Configure extension installation blocklist
ExtensionInstallForcelist	Configure the list of force-installed apps and extensions
ExtensionInstallSources	Configure extension, app, and user script install sources
ExtensionInstallTypeBlocklist	Blocklist for install types of extensions
ExtensionOAuthRedirectUrls	Configure additional OAuth redirect URLs per extension
ExtensionSettings	Extension management settings
ExtensionUnpublishedAvailability	Control availability of extensions unpublished on the Chrome Web Store.
MandatoryExtensionsForIncognitoNavigation	Extensions that have to be allowed to run in Incognito by the user in order to navigate in Incognito mode
First-Party Sets Settings
FirstPartySetsEnabled	Enable First-Party Sets.
FirstPartySetsOverrides	Override First-Party Sets.
Floating SSO Settings
AutoSignOutEnabled	Enable Automatic Sign-out Service
FloatingSsoDomainBlocklist	Floating SSO Service blocked domain list
FloatingSsoDomainBlocklistExceptions	Floating SSO Service domain blocklist exception list
FloatingSsoEnabled	Enable Floating SSO Service
Gaia user identity management settings
GaiaOfflineSigninTimeLimitDays	Limit the time for which a user authenticated via GAIA without SAML can log in offline
Generative AI
AIModeSettings	Settings for Google's AI Mode integrations in the address bar and New Tab page search box.
AutofillPredictionSettings	Settings for enhanced autofill
CreateThemesSettings	Settings for Create Themes with AI
DevToolsGenAiSettings	Settings for Chrome DevTools Generative AI Features
GeminiSettings	Settings for Gemini integration
GenAIInlineImageSettings	Settings for GenAI Inline Image feature
GenAILocalFoundationalModelSettings	Settings for GenAI local foundational model
GenAIPhotoEditingSettings	Settings for Generative AI Photo Editing feature
GenAISmartGroupingSettings	Settings for Suggested Groups
GenAIVcBackgroundSettings	Settings for Generative AI VC Background feature
GenAIWallpaperSettings	Settings for Generative AI Wallpaper feature
GenAiChromeOsSmartActionsSettings	Settings for the Text Capture feature
HelpMeReadSettings	Settings for Help Me Read feature
HelpMeWriteSettings	Settings for Help Me Write
HistorySearchSettings	Settings for AI-powered History Search
TabCompareSettings	Tab Compare settings
Google Cast
AccessCodeCastDeviceDuration	Specifies how long (in seconds) a cast device selected with an access code or QR code stays in the Google Cast menu's list of cast devices.
AccessCodeCastEnabled	Allow users to select cast devices with an access code or QR code from within the Google Cast menu.
EnableMediaRouter	Enable Google Cast
MediaRouterCastAllowAllIPs	Allow Google Cast to connect to Cast devices on all IP addresses.
ShowCastIconInToolbar	Show the Google Cast toolbar icon
ShowCastSessionsStartedByOtherDevices	Show media controls for Google Cast sessions started by other devices on the local network
HTTP authentication
AllHttpAuthSchemesAllowedForOrigins	List of origins allowing all HTTP authentication
AllowCrossOriginAuthPrompt	Cross-origin HTTP Authentication prompts
AuthAndroidNegotiateAccountType	Account type for HTTP Negotiate authentication
AuthNegotiateDelegateAllowlist	Kerberos delegation server allowlist
AuthNegotiateDelegateByKdcPolicy	Use KDC policy to delegate credentials.
AuthSchemes	Supported authentication schemes
AuthServerAllowlist	Authentication server allowlist
BasicAuthOverHttpEnabled	Allow Basic authentication for HTTP
DisableAuthNegotiateCnameLookup	Disable CNAME lookup when negotiating Kerberos authentication
EnableAuthNegotiatePort	Include non-standard port in Kerberos SPN
GSSAPILibraryName	GSSAPI library name
NtlmV2Enabled	Enable NTLMv2 authentication.
Idle Browser Actions
IdleTimeout	Delay before running idle actions
IdleTimeoutActions	Actions to run when the computer is idle
Kerberos
KerberosAccounts	Configure Kerberos accounts
KerberosAddAccountsAllowed	Users can add Kerberos accounts
KerberosCustomPrefilledConfig	Prefilled configuration for Kerberos tickets
KerberosDomainAutocomplete	Autocomplete domain for new Kerberos tickets
KerberosEnabled	Enable Kerberos functionality
KerberosRememberPasswordEnabled	Enable 'Remember password' feature for Kerberos
KerberosUseCustomPrefilledConfig	Change the prefilled configuration for Kerberos tickets
Kiosk settings
AllowKioskAppControlChromeVersion	Allow the auto launched with zero delay kiosk app to control Google ChromeOS version
DeviceLocalAccountAutoLoginBailoutEnabled	Enable bailout keyboard shortcut for auto-login
DeviceLocalAccountAutoLoginDelay	Device-local account auto-login timer
DeviceLocalAccountAutoLoginId	Device-local account for auto-login
DeviceLocalAccountPromptForNetworkWhenOffline	Enable network configuration prompt when offline
DeviceLocalAccounts	Device-local accounts
DeviceWeeklyScheduledSuspend	Schedule weekly suspend intervals
KioskActiveWiFiCredentialsScopeChangeEnabled	Expose per-app kiosk active WiFi credentials to the device level
KioskApplicationLogCollectionEnabled	Enable kiosk application log collection
KioskChromeAppsForceAllowed	Force Allow Chrome Apps in Kiosk mode
KioskTroubleshootingToolsEnabled	Enable Kiosk troubleshooting tools
KioskWebAppOfflineEnabled	Allow kiosk web app to show network prompt on app launch if the device is offline
NewWindowsInKioskAllowed	Allow Web Kiosk to open more than one browser window on any screen
Legacy Browser Support
AlternativeBrowserParameters	Command-line parameters for the alternative browser.
AlternativeBrowserPath	Alternative browser to launch for configured websites.
BrowserSwitcherChromeParameters	Command-line parameters for switching from the alternative browser.
BrowserSwitcherChromePath	Path to Chrome for switching from the alternative browser.
BrowserSwitcherDelay	Delay before launching alternative browser (milliseconds)
BrowserSwitcherEnabled	Enable the Legacy Browser Support feature.
BrowserSwitcherExternalGreylistUrl	URL of an XML file that contains URLs that should never trigger a browser switch.
BrowserSwitcherExternalSitelistUrl	URL of an XML file that contains URLs to load in an alternative browser.
BrowserSwitcherKeepLastChromeTab	Keep last tab open in Chrome.
BrowserSwitcherParsingMode	Sitelist parsing mode
BrowserSwitcherUrlGreylist	Websites that should never trigger a browser switch.
BrowserSwitcherUrlList	Websites to open in alternative browser
BrowserSwitcherUseIeSitelist	Use Internet Explorer's SiteList policy for Legacy Browser Support.
Linux container
CrostiniAllowed	User is enabled to run Crostini
CrostiniExportImportUIAllowed	User is enabled to export / import Crostini containers via the UI
CrostiniPortForwardingAllowed	Allow users to [enable/configure] Crostini port forwarding
DeviceUnaffiliatedCrostiniAllowed	Allow unaffiliated users to use Crostini
SystemTerminalSshAllowed	Allow SSH outgoing client connections in Terminal System App
VirtualMachinesAllowed	Allow devices to run virtual machines on ChromeOS
Local Network Access settings
LocalNetworkAccessAllowedForUrls	Allow sites to make requests to local network endpoints.
LocalNetworkAccessBlockedForUrls	Block sites from making requests to local network endpoints.
LocalNetworkAccessRestrictionsEnabled	Specifies whether to apply restrictions to requests to local network endpoints
LocalNetworkAccessRestrictionsTemporaryOptOut	Specifies whether to (temporarily) opt out of Local Network Access restrictions
Local user data storage
LocalUserFilesAllowed	Enable local user files
LocalUserFilesMigrationDestination	Local user files migration destination
Microsoft® Active Directory® management settings
CloudAPAuthEnabled	Allow automatic sign-in to Microsoft® cloud identity providers
AbusiveExperienceInterventionEnforce	Abusive Experience Intervention Enforce
AccessibilityImageLabelsEnabled	Enable Get Image Descriptions from Google.
AccessibilityPerformanceFilteringAllowed	Allow Accessibility Performance Filtering.
AdHocCodeSigningForPWAsEnabled	Native application signing during Progressive Web Application installation
AdditionalDnsQueryTypesEnabled	Allow DNS queries for additional DNS record types
AdsSettingForIntrusiveAdsSites	Ads setting for sites with intrusive ads
AdvancedProtectionAllowed	Enable additional protections for users enrolled in the Advanced Protection program
AllowBackForwardCacheForCacheControlNoStorePageEnabled	Allow pages with Cache-Control: no-store header to enter back/forward cache
AllowChromeDataInBackups	Allow backup of Google Chrome data
AllowDeletingBrowserHistory	Enable deleting browser and download history
AllowDinosaurEasterEgg	Allow Dinosaur Easter Egg Game
AllowExcludeDisplayInMirrorMode	Show a UI toggle to exclude a display in mirror mode.
AllowFileSelectionDialogs	Allow invocation of file selection dialogs
AllowScreenLock	Permit locking the screen
AllowSystemNotifications	Allows system notifications
AllowWebAuthnWithBrokenTlsCerts	Allow Web Authentication requests on sites with broken TLS certificates.
AllowedDomainsForApps	Define domains allowed to access Google Workspace
AllowedInputMethods	Configure the allowed input methods in a user session
AllowedInputMethodsForceEnabled	Enforce all allowed input methods to be enabled in a user session
AllowedLanguages	Configure the allowed languages in a user session
AlternateErrorPagesEnabled	Enable alternate error pages
AlwaysOnVpnPreConnectUrlAllowlist	Allow user browser access to a list of URLs while Always-on VPN is active in strict mode with lockdown enabled and the VPN is not connected
AlwaysOpenPdfExternally	Always Open PDF files externally
AmbientAuthenticationInPrivateModesEnabled	Enable Ambient Authentication for profile types.
AppLaunchAutomation	App Launch Automation
AppStoreRatingEnabled	Allows users to be shown the iOS App Store Rating promo
ApplicationBoundEncryptionEnabled	Enable Application Bound Encryption
ApplicationLocaleValue	Application locale
ArcVmDataMigrationStrategy	Migration strategy for ARC VM Data Migration
AudioCaptureAllowed	Allow or deny audio capture
AudioCaptureAllowedUrls	URLs that will be granted access to audio capture devices without prompt
AudioOutputAllowed	Allow playing audio
AudioProcessHighPriorityEnabled	Allow the audio process to run with priority above normal on Windows
AudioSandboxEnabled	Allow the audio sandbox to run
AutoFillEnabled	Enable AutoFill
AutoLaunchProtocolsFromOrigins	Define a list of protocols that can launch an external application from listed origins without prompting the user
AutoOpenAllowedForURLs	URLs where AutoOpenFileTypes can apply
AutoOpenFileTypes	List of file types that should be automatically opened on download
AutofillAddressEnabled	Enable AutoFill for addresses
AutofillCreditCardEnabled	Enable AutoFill for credit cards
AutoplayAllowed	Allow media autoplay
AutoplayAllowlist	Allow media autoplay on a allowlist of URL patterns
BackForwardCacheEnabled	Control the BackForwardCache feature.
BackgroundModeEnabled	Continue running background apps when Google Chrome is closed
BatterySaverModeAvailability	Enable Battery Saver Mode
BlockThirdPartyCookies	Block third party cookies
BookmarkBarEnabled	Enable Bookmark Bar
BrowserAddPersonEnabled	Enable add person in user manager
BrowserGuestModeEnabled	Enable guest mode in browser
BrowserGuestModeEnforced	Enforce browser guest mode
BrowserLabsEnabled	Browser experiments icon in toolbar
BrowserLegacyExtensionPointsBlocked	Block Browser Legacy Extension Points
BrowserNetworkTimeQueriesEnabled	Allow queries to a Google time service
BrowserSignin	Browser sign in settings
BrowserThemeColor	Configure the color of the browser's theme
BrowsingDataLifetime	Browsing Data Lifetime Settings
BuiltInAIAPIsEnabled	Allow pages to use the built-in AI APIs.
BuiltInDnsClientEnabled	Use built-in DNS client
CORSNonWildcardRequestHeadersSupport	CORS non-wildcard request headers support
CaptivePortalAuthenticationIgnoresProxy	Captive portal authentication ignores proxy
CertificateTransparencyEnforcementDisabledForCas	Disable Certificate Transparency enforcement for a list of subjectPublicKeyInfo hashes
CertificateTransparencyEnforcementDisabledForUrls	Disable Certificate Transparency enforcement for a list of URLs
ChromeForTestingAllowed	Allow Chrome for Testing
ChromeOsLockOnIdleSuspend	Enable lock when the device suspends or the lid is closed
ChromeOsMultiProfileUserBehavior	Control the user behavior in a multiprofile session
ChromeVariations	Determine the availability of variations
ClearBrowsingDataOnExitList	Clear Browsing Data on Exit
ClickToCallEnabled	Enable the Click to Call Feature
ClientCertificateManagementAllowed	Allow users to manage installed client certificates.
CloudManagementEnrollmentMandatory	Enable mandatory cloud management enrollment
CloudManagementEnrollmentToken	The enrollment token of cloud policy
CloudPolicyOverridesPlatformPolicy	Google Chrome cloud policy overrides Platform policy.
CloudUserPolicyMerge	Enables merging of user cloud policies into machine-level policies
CloudUserPolicyOverridesCloudMachinePolicy	Allow user cloud policies to override Chrome Browser Cloud Management policies.
CommandLineFlagSecurityWarningsEnabled	Enable security warnings for command-line flags
ComponentUpdatesEnabled	Enable component updates in Google Chrome
ContextMenuPhotoSharingSettings	Allow saving images directly to Google Photos
ContextualGoogleIntegrationsConfiguration	Contextual integrations of Google services on Google ChromeOS
ContextualGoogleIntegrationsEnabled	Contextual integrations of Google services on Google ChromeOS
ContextualSearchEnabled	Enable Touch to Search
CreatePasskeysInICloudKeychain	Control whether passkey creation will default to iCloud Keychain.
CredentialProviderPromoEnabled	Allows users to be shown the Credential Provider Extension promo
DNSInterceptionChecksEnabled	DNS interception checks enabled
DataLeakPreventionClipboardCheckSizeLimit	Set minimal size limit for data leak prevention clipboard restriction
DataLeakPreventionReportingEnabled	Enable data leak prevention reporting
DataLeakPreventionRulesList	Sets a list of data leak prevention rules.
DefaultBrowserSettingEnabled	Set Google Chrome as Default Browser
DefaultDownloadDirectory	Set default download directory
DefaultHandlersForFileExtensions	Assigns apps as default handlers for specified file extensions
DefaultSearchProviderContextMenuAccessAllowed	Allow default search provider context menu search access
DeleteKeyModifier	Control the shortcut used to trigger the Delete "six pack" key
DesktopSharingHubEnabled	Enable desktop sharing in the omnibox and 3-dot menu
DevToolsGoogleDeveloperProgramProfileAvailability	Enable Google Developer Program Profiles in Chrome DevTools
DeveloperToolsAvailability	Control where Developer Tools can be used
DeveloperToolsDisabled	Disable Developer Tools
DeviceAllowBluetooth	Allow bluetooth on device
DeviceAllowEnterpriseRemoteAccessConnections	Allow enterprise remote access connections to this machine
DeviceAllowMGSToStoreDisplayProperties	Allow Managed guest session to persist display properties
DeviceAllowRedeemChromeOsRegistrationOffers	Allow users to redeem offers through Google ChromeOS Registration
DeviceAllowedBluetoothServices	Only allow connection to the Bluetooth services in the list
DeviceAuthenticationURLAllowlist	Allow access to a list of URLs during authentication
DeviceAuthenticationURLBlocklist	Block access to a list of URL patterns during authentication
DeviceBlockDevmode	Block developer mode
DeviceBluetoothJustWorksPairingEnabled	Enable "Just Works" Bluetooth pairing
DeviceChromeVariations	Determine the availability of variations on Google ChromeOS
DeviceDebugPacketCaptureAllowed	Allow debug network packet captures
DeviceDlcPredownloadList	Select DLCs (Downloadable Content) that need to be pre downloaded
DeviceEncryptedReportingPipelineEnabled	Enable the Encrypted Reporting Pipeline
DeviceEphemeralNetworkPoliciesEnabled	Controls the enablement of the EphemeralNetworkPolicies feature
DeviceHardwareVideoDecodingEnabled	Enable GPU hardware video decoding
DeviceI18nShortcutsEnabled	Allows enabling/disabling international shortcut keys remaps
DeviceKeyboardBacklightColor	Default keyboard backlight color
DeviceKeylockerForStorageEncryptionEnabled	Controls use of AES Keylocker for user storage encryption if supported
DeviceLoginScreenPrimaryMouseButtonSwitch	Switch the primary mouse button to the right button on the login screen
DeviceLoginScreenSecurityKeyPermitAttestation	URLs/domains automatically permitted direct Security Key attestation on the login screen
DeviceLoginScreenWebHidAllowDevicesForUrls	Automatically grant permission to these sites to connect to HID devices with the given vendor and product IDs on the login screen.
DeviceLoginScreenWebUsbAllowDevicesForUrls	Automatically grant permission to these sites to connect to USB devices with the given vendor and product IDs on the login screen.
DeviceOffHours	Off hours intervals when the specified device policies are released
DevicePciPeripheralDataAccessEnabled	Enable Thunderbolt/USB4 peripheral data access
DevicePolicyRefreshRate	Refresh rate for Device Policy
DevicePostQuantumKeyAgreementEnabled	Enable post-quantum key agreement for TLS for device
DevicePowerwashAllowed	Allow the device to request powerwash
DeviceQuirksDownloadEnabled	Enable queries to Quirks Server for hardware profiles
DeviceRebootOnUserSignout	Force device reboot when user sign out
